Ce05_ip21_572qic2127;Ce05_ip21_572aic2122;Ce05_ip21_572nic2085;Ce05_ip21_572tic2120;Ce05_ip21_572zi2602;Ce05_ip21_572zx2881e;Ce05_ip21_572pi2202;Ce05_ip21_572pi2207;Ce05_ip21_572pi2204;Ce05_ip21_572pi2212;Ce05_ip21_572pi2209;Ce05_ip21_572pi2214;Ce05_ip21_572pi2216;Ce05_ip21_572pic2223;Ce05_ip21_572pic2227;Ce05_ip21_572pi2228;Ce05_ip21_572pic2226;Ce05_ip21_572pi2233;Ce05_ip21_572pi2235;Ce05_ip21_572pi2241;Ce05_ip21_572pi2243;Ce05_ip21_572pi2206;Ce05_ip21_572pi2231;Ce05_ip21_572pi2238;Ce05_ip21_572fi2294;Ce05_ip21_572pi2244;Ce05_ip21_572pi2245;Ce05_ip21_572pi2246;Ce05_ip21_572pi2247;Ce05_ip21_572pi2253;Ce05_ip21_572pi2254;Ce05_ip21_572fi2292;Ce05_ip21_572fi2293;Ce05_ip21_572fi2296;Ce05_ip21_572fi2298;Ce05_ip21_572fi2297;Ce05_ip21_572fi2295;Ce05_ip21_572mic2990;Ce05_ip21_572ti2902;Ce05_ip21_572fi2901;Ce05_ip21_572pi2903;Ce05_ip21_572pic2904;Ce05_ip21_572tic2474;Ce05_ip21_572mic2911;Ce05_ip21_572TI2910;Ce05_ip21_572TI2912;Ce05_ip21_572TI2920;Ce05_ip21_572TI2905;Ce05_ip21_572PIC2906;Ce05_ip21_572PI2906;Ce05_l21_622ni572.0.23;Ce05_l21_622ni572.0.24;Ce05_l21_622ai581.0.8
1.200004177;5.221273238;2.926559411;65.97279911;58.98487344;180.0414451;-0.119519116;-2.902907756;-0.291986956;-6.462391293;-5.562818233;-8.183333585;-8.826331296;-16.00178047;-21.95669461;-28.7294518;-18.95193148;-22.79088161;-30.02719976;-36.09360254;-17.79042949;-17.71995292;-18.2668802;-33.27445247;341.9041712;-40.03283257;-58.96658031;-43.07970978;-16.6707224;-54.14146805;-45.70533904;556.0455681;831.7799242;371.6504951;511.9882157;384.8290488;566.6195719;97.37791981;150.3050925;21.21047024;374.3391485;368.7906685;149.198608;229.7266434;69.51766349;111.0831352;78.77164944;133.6920425;-35.44800177;-35.14119616;33;52.59999847;612
1.199967387;5.222031867;2.926725882;66.01071452;58.98747317;179.9559868;-0.119793861;-2.901416614;-0.292214977;-6.468808255;-5.562515157;-8.185689037;-8.835836966;-15.71633047;-21.92173785;-28.71246403;-18.92419637;-22.86742948;-30.0794315;-36.11705567;-17.78442663;-17.76378162;-18.34232241;-33.32543965;339.7228035;-40.07354361;-58.9587992;-43.13169803;-16.651177;-54.13231099;-45.68372893;561.3252678;833.0173759;382.1210565;536.1870301;381.4486308;565.3068531;97.43309551;150.3483257;20.67246747;374.1681008;369.1740991;149.4737498;232.7672184;69.6606621;111.0982933;79.32984489;133.6961662;-35.28574475;-35.16677581;33;52.59999847;612
1.199930597;5.222790497;2.926892353;66.00008686;58.99007289;179.9703231;-0.120068605;-2.899925471;-0.292442999;-6.475225216;-5.56221208;-8.18804449;-8.856488348;-15.90078189;-21.9925043;-28.67306681;-18.9184234;-22.73792604;-30.0120314;-36.08568133;-17.8079228;-18.15099539;-18.28196382;-33.26270079;340.0583068;-39.98988643;-59.02357279;-43.12695424;-16.66026152;-54.18210155;-45.70844656;570.4317728;834.2790197;373.3851524;538.2710978;385.2572445;560.7568892;97.38370667;150.3456901;21.18114273;374.3259161;368.8067218;149.3015541;231.5912532;69.89704267;111.0194831;79.85137641;133.72245;-35.47655921;-35.29994237;33;52.59999847;612
1.199893807;5.223549127;2.927058825;65.99448988;58.99267261;179.9901764;-0.120343349;-2.898434329;-0.292666392;-6.481642177;-5.561909004;-8.190399943;-8.896585251;-16.22067656;-21.96611875;-28.71506017;-19.0236947;-22.74083168;-30.00657667;-36.08458021;-17.82394391;-17.13835199;-18.24035956;-33.25943531;340.6326816;-39.99549703;-58.94557093;-43.13183485;-16.66258679;-54.17525645;-45.69775727;544.9619111;831.9332898;387.7686788;518.3158764;382.6721017;561.8390896;97.38756233;150.3663326;21.05324165;377.7215061;372.2273585;149.5727738;231.4044479;70.1726996;111.1258405;80.30243834;133.7408439;-35.06651257;-34.8985251;33;52.59999847;612
1.199857017;5.224307757;2.927225296;65.93673572;58.99527234;180.005192;-0.120618094;-2.896943186;-0.292846733;-6.488059139;-5.561605928;-8.192755396;-8.881241176;-16.23141637;-22.02127729;-28.77809353;-19.03143376;-22.85311634;-30.10461468;-36.15187148;-17.83302178;-16.89879466;-18.33794418;-33.34910981;340.3741107;-39.9819459;-58.99290762;-43.14948887;-16.67521524;-54.19665519;-45.67778824;554.6841159;831.7993775;381.7785507;526.2013497;379.6599193;559.9872024;97.51435439;150.334446;21.00374171;379.792097;374.3912533;149.7738596;231.3484129;70.41907924;111.1770063;80.70605281;133.7639647;-35.08972228;-34.86620497;33;52.59999847;612
1.199820227;5.225066387;2.927391768;65.89556174;58.99787206;179.9618596;-0.120892838;-2.895452043;-0.293016557;-6.4944761;-5.561302851;-8.195110848;-8.877999734;-15.81198781;-22.04429285;-28.78613718;-18.89460364;-22.82880516;-30.10316254;-36.1863442;-17.84991557;-17.10451847;-18.30645985;-33.34686648;342.324015;-40.06818625;-58.91140245;-43.12914173;-16.67395355;-54.23068942;-45.71738873;566.2513008;830.9565716;381.9718331;528.3007087;388.0525345;563.8760899;97.57171305;150.3187418;20.7486758;377.6004233;372.3638986;149.7355115;232.5705134;70.6279653;111.3038944;81.10326399;133.7815595;-35.55891889;-35.82335438;33;52.59999847;612
1.199783437;5.225825017;2.927558239;65.90640892;59.00047178;179.9952315;-0.121167583;-2.893960901;-0.293186382;-6.499671287;-5.560999775;-8.197466301;-8.874758293;-15.70453313;-22.07875823;-28.79085658;-18.93453253;-22.86709361;-30.1311861;-36.1858431;-17.87180183;-17.58064686;-18.3622474;-33.36740059;342.4560718;-40.02719042;-59.08152904;-43.14850303;-16.68917655;-54.23852711;-45.75844143;564.1173482;824.9797761;386.6645645;528.8902544;378.3158004;567.1636368;97.34215092;150.3957533;21.03419407;380.2357794;374.8354838;149.7200882;230.7096938;70.96675405;111.1185939;81.56964068;133.7442755;-35.01731888;-35.19718226;33;52.59999847;612
1.199746646;5.226583647;2.92772471;65.93900786;59.00307151;180.0139858;-0.121442327;-2.892469758;-0.293356206;-6.493251595;-5.560696698;-8.199821754;-8.871516852;-16.17706504;-22.02847616;-28.91359683;-19.0975797;-22.88306165;-30.05684988;-36.09980927;-17.87278727;-17.28338621;-18.26579021;-33.28368137;345.45791;-40.01715485;-59.11457098;-43.18817655;-16.70011875;-54.26622594;-45.81106457;560.7469062;836.9347176;376.850885;541.0940979;385.4169301;564.8789344;97.24649312;150.2982746;20.47559068;376.2247361;371.3607538;149.7620416;233.7172842;71.13650518;111.2377521;81.89715554;133.6968261;-35.01489899;-34.9196346;33;52.59999847;612
1.199709856;5.227342276;2.927891182;65.99237049;59.00567123;179.9379103;-0.121717071;-2.890978616;-0.29352603;-6.484119853;-5.560393622;-8.202177206;-8.868275411;-16.22532299;-21.98833577;-28.71869014;-19.07623189;-22.91432859;-30.10973522;-36.11025897;-17.84842894;-17.98203697;-18.29586485;-33.29579989;344.9745542;-40.0683731;-59.02086773;-43.20486196;-16.6989913;-54.23125197;-45.64625492;561.6491444;831.6997806;394.6905817;506.6039058;384.4986229;564.5040628;97.39056614;150.2369988;20.94355501;373.4167671;368.0331784;149.3007995;229.4108042;71.38431164;111.1018341;82.27572946;133.6925166;-35.33880448;-35.86294848;33;52.59999847;612
1.199673522;5.228100906;2.928057653;65.9262265;59.00827095;179.9966924;-0.121991816;-2.889487473;-0.293695855;-6.4716784;-5.560090545;-8.204532659;-8.865033969;-15.82862824;-21.96617016;-28.78223323;-19.02349274;-22.85624912;-30.08495913;-36.15873397;-17.85893828;-17.32537857;-18.33747095;-33.32601317;345.9418547;-40.10116942;-58.86356418;-43.19099472;-16.69011601;-54.2065271;-45.7410288;550.4609402;835.5934122;382.3886409;523.2282233;383.1326934;567.0323902;97.53179611;150.2870447;20.68793718;376.2534972;371.3510101;149.5769094;231.2062628;71.57069239;111.1510018;82.60326405;133.7203312;-35.36669873;-35.5411166;33;52.59999847;612
